Initials,Date,Course ID,Time (m),Summary
TMM,1/8/2022,DS-160-01,25,Read Chapters
TMM,1/11/2022,ANTH-215-01,20,Read Chapters
TMM,1/13/2022,BUSA-346-01,20,HW 1
TMM,1/18/2022,DS-160-01,25,Read Chapters
TMM,1/20/2022,BUSA-346-01,30,HW2
TMM,1/22/2022,DS-160-01,20,Read Chapters
TMM,1/22/2022,ANTH-215-01,15,Watched Video
TMM,1/23/2022,MATH-215-02,35,HW1
TMM,1/24/2022,MATH-215-02,30,Studied
TMM,1/26/2022,DS-160-01,25,Read Chapters
TMM,1/27/2022,MATH-215-02,30,Started HW2
TMM,1/27/2022,BUSA-346-01,25,HW3
TMM,2/1/2022,ANTH-215-01,20,Read Chapters
TMM,2/2/2022,DS-160-01,30,Read Chapters
TMM,2/6/2022,DS-160-01,20,Started Project 1
TMM,2/6/2022,MATH-215-02,20,Finished HW
TMM,2/9/2022,ANTH-215-01,25,Studied Test 1
TMM,2/10/2022,DS-160-01,45,Worked on IP2
TMM,2/15/2022,MATH-215-02,35,Worked on HW
TMM,2/15/2022,MATH-215-02,30,Studied for test
TMM,2/17/2022,DS-160-01,45,Worked on IP3
TMM,2/20/2022,ANTH-215-01,20,Read Chapters
TMM,2/20/2022,MATH-215-02,50,Take Home Test
TMM,2/22/2022,ANTH-215-01,15,Review Test
TMM,2/22/2022,BUSA-346-01,30,Worked on HW
TMM,2/24/2022,DS-160-01,5,Discussed GP1
TMM,3/6/2022,BU-299-ON,40,Started Online Class
TMM,3/7/2022,DS-160-01,40,Worked on GP1
TMM,3/9/2022,MATH-215-02,60,Worked on HW
TMM,3/10/2022,DS-160-01,35,Worked on GP1
